dishCode,dishName,workday,saturday,sunday,breakfast,lunch,dinner,soup,main
1,arista di maiale,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
2,articoky,,TRUE,TRUE,,,TRUE,,TRUE
3,baskicke kura,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
4,beef stroganoff,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
5,Borsc,TRUE,TRUE,TRUE,,TRUE,,TRUE,
6,bourgignon,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
7,bravcove na slivkach,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
8,Brokolicova,TRUE,TRUE,TRUE,,TRUE,,TRUE,
9,bryndzove halusky,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
10,cassoulet,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
11,Cerealie,TRUE,,,TRUE,,,,TRUE
12,Cesnacka,TRUE,TRUE,TRUE,,TRUE,,TRUE,
13,chicken cacciatore,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
14,chicken parmigiana,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
15,chilli con carne,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
16,chlieb s lososom,TRUE,,,,,TRUE,,TRUE
17,Cibulova,TRUE,TRUE,TRUE,,TRUE,,TRUE,
18,clam chowder,TRUE,TRUE,TRUE,,TRUE,,TRUE,
19,Croissants,,,TRUE,TRUE,,,,TRUE
20,Cuketova,TRUE,TRUE,TRUE,,TRUE,,TRUE,
21,fasirka,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
22,Fazulova,TRUE,TRUE,TRUE,,TRUE,,TRUE,
23,fetuccine alfredo,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
24,fondue bourgignon,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
25,fondue savoyard,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
26,francuzske zemiaky,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
27,Full english,,TRUE,,TRUE,,,,TRUE
28,granadir,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
29,gulas,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
30,hamburger,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
31,hot-dog,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
32,Hovadzia,TRUE,TRUE,TRUE,,TRUE,,TRUE,
33,hovadzie na mrkve,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
34,hovadzie steaky,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
35,Hubova prazenica,,TRUE,,TRUE,,,,TRUE
